Instance Type,vCPUs,Memory (GiB),Features,Family,CSP,Platform,Category,Min. CPU Architecture,Max. CPU Architecture,Min. Year,Max. Year,Link,,,,,
c4.24xlarge,48,96,,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
c4.2xlarge,8,15,#nolocalstorage,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
c4.4xlarge,16,30,#nolocalstorage,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
c4.8xlarge,36,60,#nolocalstorage,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
c4.large,2,3.75,#nolocalstorage,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
c4.xlarge,4,7.5,#nolocalstorage,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
c5.12xlarge,48,96,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.18xlarge,72,144,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.24xlarge,96,192,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.2xlarge,8,16,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.4xlarge,16,32,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.9xlarge,36,72,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.large,2,4,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.metal,96,192,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5.xlarge,4,8,#nolocalstorage #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5a.12xlarge,48,96,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5a.16xlarge,64,128,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5a.24xlarge,96,192,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5a.2xlarge,8,16,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
